,GCcleanPOBlat,GCcleanPOBlon,Unnamed: 0_x,count,cleanPOBtown_x,cleanPOBcnty_x,cleanPOBst_x,GCcleanPOBplace_x,Unnamed: 0_y,ersatz_id,rawPOB,cleanPOBtown_y,cleanPOBcnty_y,cleanPOBst_y,GCcleanPOBprec,GCcleanPOBplace_y
5834,47.9799846,-97.2453581,1,1,1,0,1,1,16357,16358,Kellys N Dak,Kelly,,North Dakota,town,Kelly ND
5835,47.9799986,-98.9929005,10,10,10,0,10,10,1635,1636,Fort Totten N Dak,Fort Totten,,North Dakota,town,Fort Totten ND
5836,47.9916058,-97.0784772,1,1,1,0,1,1,7156,7157,Faiconer D T,Falconer,,Dakota Territory,town,Falconer ND
5837,47.9957261,-117.5593952,1,1,1,0,1,1,23367,23368,Clayton Wash,Clayton,,Washington,town,Clayton WA
5838,47.9963819,-97.8703719,22,22,22,0,22,22,1812,1813,Niagara N Dak,Niagara,,North Dakota,town,Niagara ND
5839,47.99864520000001,-104.0000753,1,1,1,0,1,1,18822,18823,Fort Buford N Dak,Buford,,North Dakota,town,Buford ND
5840,47.9999591,12.9443752,1,1,1,0,1,1,7342,7343,Brook Austria,Bruck,,Austria,town,Bruck Austria
5841,48.00167370000001,-100.7145903,2,2,2,0,2,2,14256,14257,Bergen D T,Bergen,,Dakota Territory,town,Bergen ND
5842,48.00582429999999,-97.7188646,3,3,3,0,3,3,8206,8207,McCanna D T,McCanna,,Dakota Territory,town,McCanna ND
5843,48.0058251,-97.7100884,11,11,11,0,11,11,6542,6543,McCanna N Dak,McCanna,,North Dakota,town,McCanna ND
5844,48.0111052,-98.0014884,24,24,24,0,24,24,1522,1523,Petersburg N Dak,Petersburg,,North Dakota,town,Petersburg ND
5845,48.0126729,-96.2146239,7,7,7,0,7,7,5086,5087,St Hilaire Minn,St Hilaire,,Minnesota,town,St Hilaire MN
5846,48.012765,-97.3634153,35,35,35,0,35,35,48,49,Mekinock D T,Mekinock,,Dakota Territory,town,Mekinock ND
5847,48.0247122,-98.1192133,36,36,36,0,36,36,731,732,Michigan N Dak,Michigan,,North Dakota,town,Michigan ND
5848,48.0311085,-98.2273245,5,5,5,0,5,5,19752,19753,Mapes N Dak,Mapes,,North Dakota,town,Mapes ND
5849,48.0333225,-97.4706395,5,5,5,0,5,5,3462,3463,Honeyford N Dak,Honeyford,,North Dakota,town,Honeyford ND
5850,48.0358398,-99.7620743,1,1,1,0,1,1,16650,16651,Esmond N Dak,Esmond,,North Dakota,town,Esmond ND
5851,48.04277670000001,-98.33621490000002,45,45,45,0,45,45,60,61,Lakota D T,Lakota,,Dakota Territory,town,Lakota ND
5852,48.0447222,-98.4323272,7,7,7,0,7,7,447,448,Bartlett N Dak,Bartlett,,North Dakota,town,Bartlett ND
5853,48.0486474,-96.9601362,1,1,1,0,1,1,6327,6328,Northland Minn,Northland Township,,Minnesota,town,Northland Township MN
5854,48.0527789,-98.5367737,3,3,3,0,3,3,9170,9171,Doyon N Dak,Doyon,,North Dakota,town,Doyon ND
5855,48.0534189,-121.4300615,1,1,1,0,1,1,13890,13891,Monte Cristo Wash,Monte Cristo Lake,,Washington,town,Monte Cristo Lake Washington
5856,48.0538881,-99.0967958,2,2,2,0,2,2,5742,5743,Grahams Island N Dak,Grahams Island Lallie North,,North Dakota,town,Grahams Island Lallie North ND
5857,48.0561196,-100.929317,8,8,8,0,8,8,213,214,Velva N Dak,Velva,,North Dakota,town,Velva ND
5858,48.05719600000001,-102.4966079,1,1,1,0,1,1,20967,20968,Knife River N Dak,Knife River,,North Dakota,town,Knife River ND
5859,48.0583276,-100.9466077,1,1,1,0,1,1,20475,20476,Velva D T,Velva,,Dakota Territory,town,Velva ND
5860,48.0708347,-98.6384434,24,24,24,0,24,24,7897,7898,Crary N Dak,Crary,,North Dakota,town,Crary ND
5861,48.071388,-99.2523572,49,49,49,0,49,49,2368,2369,Minnewaukan N Dak,Minnewaukan,,North Dakota,town,Minnewaukan ND
5862,48.0777615,-97.1764649,23,23,23,0,23,23,545,546,Manvel D T,Manvel,,Dakota Territory,town,Manvel ND
5863,48.0791435,-96.8628456,2,2,2,0,2,2,19610,19611,Tabor Minn,Tabor,,Minnesota,town,Tabor MN
5864,48.081342,-97.6965277,1,1,1,0,1,1,14799,14800,Agnes N Dak,Agnes,,North Dakota,town,Agnes ND
5865,48.0821128,-97.0648766,1,1,1,0,1,1,626,627,Esther Minn,Esther Township,,Minnesota,town,Esther Township MN
5866,48.0852671,-97.4706383,21,21,21,0,21,21,182,183,Gllby N Dak,Gilby,,North Dakota,town,Gilby ND
5867,48.0887756,-101.0543194,6,6,6,0,6,6,2024,2025,Sawyer N Dak,Sawyer,,North Dakota,town,Sawyer ND
5868,48.093325,-97.6753648,4,4,4,0,4,4,16532,16533,Orr N Dak,Orr,,North Dakota,town,Orr ND
5869,48.10876931,-99.52328047,3,3,0,3,3,3,8742,8743,Benson county N Dak,,Benson,North Dakota,county,Benson County ND
